premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
"If Alexander is an electrical technician, John's friend will test insulation with her insulation tester.",Alexander has an insulation tester.,N,possessive,0,type4_possessive_00,John's friend,unrelated
"If Alexander is an electrical technician, he'll test insulation with his insulation tester.",Alexander has an insulation tester.,E,possessive,0,type4_possessive_00,his insulation tester,related
"If Alexander is an electrical technician, he'll test insulation with his wire connectors.",Alexander has an insulation tester.,N,possessive,0,type4_possessive_00,his wire connectors,somewhat_related
"If Ali is a firefighter, John's friend will borrow us her firehose.",Ali has a firehose.,N,possessive,1,type4_possessive_01,John's friend,unrelated
"If Ali is a firefighter, he'll borrow us his firehose.",Ali has a firehose.,E,possessive,1,type4_possessive_01,his firehose,related
"If Ali is a firefighter, he'll borrow us his helmet.",Ali has a firehose.,N,possessive,1,type4_possessive_01,his helmet,somewhat_related
"If Alice is a midwife, John's friend will travel with his birthing kit.",Alice has a birthing kit.,N,possessive,2,type4_possessive_02,John's friend,unrelated
"If Alice is a midwife, she'll travel with her birthing kit.",Alice has a birthing kit.,E,possessive,2,type4_possessive_02,her birthing kit,related
"If Alice is a midwife, she'll travel with her fetal scope.",Alice has a birthing kit.,N,possessive,2,type4_possessive_02,her fetal scope,somewhat_related
"If Aliya is a nurse, John's friend will wear his scrub to work.",Aliya has scrubs.,N,possessive,3,type4_possessive_03,John's friend,unrelated
"If Aliya is a nurse, she'll wear her scrub to work.",Aliya has scrubs.,E,possessive,3,type4_possessive_03,her scrub,related
"If Aliya is a nurse, she'll wear her scrub to work.",Aliya has scrubs.,N,possessive,3,type4_possessive_03,her scrub,somewhat_related
"If Amelia is a seamstress, John's friend will fix his sewing machine.",Amelia has a sewing machine.,N,possessive,4,type4_possessive_04,John's friend,unrelated
"If Amelia is a seamstress, she'll fix her sewing machine.",Amelia has a sewing machine.,E,possessive,4,type4_possessive_04,her sewing machine,related
"If Amelia is a seamstress, she'll fix her textile machine.",Amelia has a sewing machine.,N,possessive,4,type4_possessive_04,her textile machine,somewhat_related
"If Andrew is a home inspector, John's friend will use her moisture meter to detect water damage.",Andrew has a moisture meter.,N,possessive,5,type4_possessive_05,John's friend,unrelated
"If Andrew is a home inspector, he'll use his flashlight to detect water damage.",Andrew has a moisture meter.,N,possessive,5,type4_possessive_05,his flashlight,somewhat_related
"If Andrew is a home inspector, he'll use his moisture meter to detect water damage.",Andrew has a moisture meter.,E,possessive,5,type4_possessive_05,his moisture meter,related
"If Benjamin is a dive instructor, John's friend will bring her diving fins.",Benjamin has diving fins.,N,possessive,6,type4_possessive_06,John's friend,unrelated
"If Benjamin is a dive instructor, he'll bring his diving fins.",Benjamin has diving fins.,E,possessive,6,type4_possessive_06,his diving fins,related
"If Benjamin is a dive instructor, he'll bring his swimsuit.",Benjamin has diving fins.,N,possessive,6,type4_possessive_06,his swimsuit,somewhat_related
"If Beverly is a gymnastics coach, John's friend will lay out his matting for his athletes to practice on.",Beverly has matting.,N,possessive,7,type4_possessive_07,John's friend,unrelated
"If Beverly is a gymnastics coach, she'll lay out her matting for her athletes to practice on.",Beverly has matting.,E,possessive,7,type4_possessive_07,her matting,related
"If Beverly is a gymnastics coach, she'll lay out her stopwatch for her athletes to practice on.",Beverly has matting.,N,possessive,7,type4_possessive_07,her stopwatch,somewhat_related
"If Bill is a content strategist, John's friend will manage everything in her content management application.",Bill has a content management application.,N,possessive,8,type4_possessive_08,John's friend,unrelated
"If Bill is a content strategist, he'll manage everything in his content management application.",Bill has a content management application.,E,possessive,8,type4_possessive_08,his content management application,related
"If Bill is a content strategist, he'll manage everything in his laptop.",Bill has a content management application.,N,possessive,8,type4_possessive_08,his laptop,somewhat_related
"If Bradley is a teacher, he'll wear his suit to the party.",Bradley has a suit.,E,possessive,9,type4_possessive_09,his suit,related
