premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
"If Jessica attends a movie festival, she'll never watch a movie by Nolan again.",Jessica has watched a movie by Nolan before.,E,again,0,type5a_again_00,a movie festival,related
"If Jessica attends the conference, she'll never watch a movie by Nolan again.",Jessica has watched a movie by Nolan before.,E,again,0,type5a_again_00,attends the conference,unrelated
"If Emily finishes a mystery novel, she'll never read a book by Dan Brown again.",Emily has read a book by Dan Brown before.,E,again,1,type5a_again_01,finishes a mystery novel,related
"If Emily passes her driving test, she'll never read a book by Dan Brown again.",Emily has read a book by Dan Brown before.,E,again,1,type5a_again_01,passes her driving test,unrelated
"If Scarlett bakes a Swedish pastry, she'll never eat a traditional Swedish dish again.",Scarlett has eaten a traditional Swedish dish before.,E,again,2,type5a_again_02,bakes a Swedish pastry,related
"If Scarlett finishes her work early, she'll never eat a traditional Swedish dish again.",Scarlett has eaten a traditional Swedish dish before.,E,again,2,type5a_again_02,Scarlett finishes her work early,unrelated
"If Chloe attends a pop concert, she'll never sing a pop song again.",Chloe has sung a pop song before.,E,again,3,type5a_again_03,attends a pop concert,related
"If Chloe finishes her work early, she'll never sing a pop song again.",Chloe has sung a pop song before.,E,again,3,type5a_again_03,Chloe finishes her work early,unrelated
"If Charlotte attends a pop music festival, she'll never listen to a pop song again.",Charlotte has listened to a pop song before.,E,again,4,type5a_again_04,attends a pop music festival,related
"If Charlotte passes her driving test, she'll never listen to a pop song again.",Charlotte has listened to a pop song before.,E,again,4,type5a_again_04,Charlotte passes her driving test,unrelated
"If Mia visits a haunted house, she'll never write a horror novel again.",Mia has written a horror novel before.,E,again,5,type5a_again_05,visits a haunted house,related
"If Mia's car breaks down, she'll never write a horror novel again.",Mia has written a horror novel before.,E,again,5,type5a_again_05,Mia's car breaks down,unrelated
"If Ryan completes a race in Boston, he'll never run a marathon in the US again.",Ryan has run a marathon in the US before.,E,again,6,type5a_again_06,completes a race in Boston,related
"If Ryan passes his driving test, he'll never run a marathon in the US again.",Ryan has run a marathon in the US before.,E,again,6,type5a_again_06,Ryan passes his driving test,unrelated
"If Lily visits an art gallery in the city, she'll never paint a portrait again.",Lily has painted a portrait before.,E,again,7,type5a_again_07,visits an art gallery,related
"If Lily takes the train to the city, she'll never paint a portrait again.",Lily has painted a portrait before.,E,again,7,type5a_again_07,takes the train to the city,unrelated
"If Lisa test-drives a sports car, she'll never drive a sports car again.",Lisa has driven a sports car before.,E,again,8,type5a_again_08,test-drives a sports car,related
"If Lisa finishes her meeting early, she'll never drive a sports car again.",Lisa has driven a sports car before.,E,again,8,type5a_again_08,finishes her meeting early,unrelated
"If Jennifer learns to play piano, she'll never play a musical instrument again.",Jennifer has played a musical instrument before.,E,again,9,type5a_again_09,learns to play piano,related
"If Jennifer finishes her presentation early, she'll never play a musical instrument again.",Jennifer has played a musical instrument before.,E,again,9,type5a_again_09,Jennifer finishes her presentation early,unrelated
"If Sarah roasts a chicken, she'll never cook a chicken again.",Sarah has cooked a chicken before.,E,again,10,type5a_again_10,roasts a chicken,related
"If Sarah has a doctor's appointment, she'll never cook a chicken again.",Sarah has cooked a chicken before.,E,again,10,type5a_again_10,Sarah has a doctor's appointment,unrelated
"If Evelyn studies Spanish, she'll never try to learn a new language again.",Evelyn has tried to learn a new language before.,E,again,11,type5a_again_11,studies Spanish,related
"If Evelyn lands in New York, she'll never try to learn a new languege again.",Evelyn has tried to learn a new language before.,E,again,11,type5a_again_11,Evelyn lands in New York,unrelated
"If Daniel joins a dance class, he'll never perform in a dance show again.",Daniel has performed in a dance show before.,E,again,12,type5a_again_12,joins a dance class,related
"If Daniel arrives on time, he'll never perform in a dance show again.",Daniel has performed in a dance show before.,E,again,12,type5a_again_12,Daniel arrives on time,unrelated
"If Isabella practices calligraphy, she'll never master an art form again.",Isabella has mastered an art form before.,E,again,13,type5a_again_13,practices calligraphy,related
"If Isabella finishes her work early, she'll never master an art form again.",Isabella has mastered an art form before.,E,again,13,type5a_again_13,finishes her work early,unrelated
"If Elijah teaches a science seminar, he'll never teach a science class again.",Elijah has taught a science class before.,E,again,14,type5a_again_14,teaches a science seminar,related
"If Elijah attends the conference, he'll never teach a science class again.",Elijah has taught a science class before.,E,again,14,type5a_again_14,Elijah attends the conference,unrelated
"If Patricia decorates a chocolate cake, she'll never bake a chocolate cake again.",Patricia has baked a chocolate cake before.,E,again,15,type5a_again_15,decorates a chocolate cake,related
"If Patricia finishes her presentation early, she'll never bake a chocolate cake again.",Patricia has baked a chocolate cake before.,E,again,15,type5a_again_15,Patricia finishes her presentation early,unrelated
"If Linda interviews the actor for a school project, she'll never conduct an interview with the actor again.",Linda has conducted an interview with the actor before.,E,again,16,type5a_again_16,interviews the actor for a school project,related
"If Linda graduates from college, she'll never conduct an interview with the actor again.",Linda has conducted an interview with the actor before.,E,again,16,type5a_again_16,Linda graduates from college,unrelated
"If Karen edits a documentary, she'll never make a documentary again.",Karen has made a documentary before.,E,again,17,type5a_again_17,edits a documentary,related
"If Karen's flight is delayed, she'll never make a documentary again.",Karen has made a documentary before.,E,again,17,type5a_again_17,Karen's flight is delayed,unrelated
"If Abigail cleans the kitchen, she'll never clean a bathtub again.",Abigail has cleaned a bathtub before.,E,again,18,type5a_again_18,cleans the kitchen,related
"If Abigail finishes her presentation early, she'll never clean a bathtub again.",Abigail has cleaned a bathtub before.,E,again,18,type5a_again_18,Abigail finishes her presentation early,unrelated
"If Elizabeth organizes a science conference, she'll never organize an academic department again.",Elizabeth has organized an academic department before.,E,again,19,type5a_again_19,organizes a science conference,related
"If Elizabeth finishes her presentation early, she'll never organize an academic department again.",Elizabeth has organized an academic department before.,E,again,19,type5a_again_19,Elizabeth finishes her presentation early,unrelated
"If Zoey plays football at the stadium, she'll never watch a football match again.",Zoey has watched a football match before.,E,again,20,type5a_again_20,plays football at the stadium,related
"If Zoey finishes her meeting early, she'll never watch a football match again.",Zoey has watched a football match before.,E,again,20,type5a_again_20,Zoey finishes her meeting early,unrelated
"If Harper books a flight to Sweden, he'll never travel to a northern country again.",Harper has traveled to a northern country before.,E,again,21,type5a_again_21,books a flight to Sweden,related
"If Harper arrives early, he'll never travel to a northern country again.",Harper has traveled to a northern country before.,E,again,21,type5a_again_21,Harper arrives early,unrelated
"If Ethan receives a message from Laurie, he'll never accept an invitation by Laurie again.",Ethan has accepted an invitation by Laurie before.,E,again,22,type5a_again_22,receives a message from Laurie,related
"If Ethan arrives on time, he'll never accept an invitation by Laurie again.",Ethan has accepted an invitation by Laurie before.,E,again,22,type5a_again_22,Ethan arrives on time,unrelated
"If Kimberly meets Sarah's friend for lunch, she'll never accompany a friend of Sarah again.",Kimberly has accompanied a friend of Sarah before.,E,again,23,type5a_again_23,meets Sarah's friend for lunch,related
"If Kimberly finishes work early, she'll never accompany a friend of Sarah again.",Kimberly has accompanied a friend of Sarah before.,E,again,23,type5a_again_23,Kimberly finishes work early,unrelated
"If Ashley apologizes to Julia, she'll never admit a mistake by Julia again.",Ashley has admitted a mistake by Julia before.,E,again,24,type5a_again_24,apologizes to Julia,related
"If Ashley decides to study abroad, she'll never admit a mistake by Julia again.",Ashley has admitted a mistake by Julia before.,E,again,24,type5a_again_24,Ashley decides to study abroad,unrelated
"If Joshua feeds a pet cat, he'll never adopt a pet cat again.",Joshua has adopted a pet cat before.,E,again,25,type5a_again_25,feeds a pet cat,related
"If Joshua agrees to meet, he'll never adopt a pet cat again.",Joshua has adopted a pet cat before.,E,again,25,type5a_again_25,Joshua agrees to meet,unrelated
"If David supervises a graduate research project, he'll never advise a graduate student again.",David has advised a graduate student before.,E,again,26,type5a_again_26,supervises a graduate research project,related
"If David attends the conference, he'll never advise a graduate student again.",David has advised a graduate student before.,E,again,26,type5a_again_26,David attends the conference,unrelated
"If Avery argues with a colleague at a conference, she'll never argue with a colleague at the office again.",Avery has argued with a colleague at the office before.,E,again,27,type5a_again_27,argues with a colleague at a conference,related
"If Avery decides to attend the conference, she'll never argue with a colleague at the office again.",Avery has argued with a colleague at the office before.,E,again,27,type5a_again_27,decides to attend the conference,unrelated
"If Steven asks Lili about the concert, he'll never ask a question from Lili again.",Steven has asked a question from Lili before.,E,again,28,type5a_again_28,asks Lili about the concert,related
"If Steven drives to the concert, he'll never ask a question from Lili again.",Steven has asked a question from Lili before.,E,again,28,type5a_again_28,Steven drives to the concert,unrelated
"If Barbara assigns a project to Paria, she'll never assign a task to Paria again.",Barbara has assigned a task to Paria before.,E,again,29,type5a_again_29,assigns a project to Paria,related
"If Barbara's car breaks down, she'll never assign a task to Paria again.",Barbara has assigned a task to Paria before.,E,again,29,type5a_again_29,Barbara's car breaks down,unrelated
"If Dorothy listens to a story by Emmy, she'll never believe a story by Emmy again.",Dorothy has believed a story by Emmy before.,E,again,30,type5a_again_30,listens to a story by Emmy,related
"If Dorothy finishes her meeting early, she'll never believe a story by Emmy again.",Dorothy has believed a story by Emmy before.,E,again,30,type5a_again_30,finishes her meeting early,unrelated
"If Amelia borrows a book from Sina's library, she'll never borrow a book from Sina again.",Amelia has borrowed a book from Sina before.,E,again,31,type5a_again_31,borrows a book from Sina's library,related
"If Amelia finishes her work early, she'll never borrow a book from Sina again.",Amelia has borrowed a book from Sina before.,E,again,31,type5a_again_31,Amelia finishes her work early,unrelated
"If Sophia buys a concert ticket for her mom, she'll never bring a gift to her mom again.",Sophia has brought a gift to her mom before.,E,again,32,type5a_again_32,buys a concert ticket for her mom,related
"If Sophia decides to attend the concert, she'll never bring a gift to her mom again.",Sophia has brought a gift to her mom before.,E,again,32,type5a_again_32,Sophia decides to attend the concert,unrelated
"If Mark buys a used car for his son, he'll never buy a car for his son again.",Mark has bought a car for his son before.,E,again,33,type5a_again_33,buys a used car,related
"If Mark's flight is delayed, he'll never buy a car for his son again.",Mark has bought a car for his son before.,E,again,33,type5a_again_33,Mark's flight is delayed,unrelated
"If Olivia calls Natalie in Paris, he'll never call a friend of Natalie again.",Olivia has called a friend of Natalie before.,E,again,34,type5a_again_34,calls Natalie in,related
"If Olivia travels to Paris, he'll never call a friend of Natalie again.",Olivia has called a friend of Natalie before.,E,again,34,type5a_again_34,Olivia travels to Paris,unrelated
"If Christopher carries Kate Spade luggage, he'll never carry a bag by Kate Spade again.",Christopher has carried a bag by Kate Spade before.,E,again,35,type5a_again_35,carries Kate Spade luggage,related
"If Christopher arrives on time, he'll never carry a bag by Kate Spade again.",Christopher has carried a bag by Kate Spade before.,E,again,35,type5a_again_35,Christopher arrives on time,unrelated
"If Margaret plans Tiffany's birthday, she'll never celebrate a birthday for Tiffany again.",Margaret has celebrated a birthday for Tiffany before.,E,again,36,type5a_again_36,plans Tiffany's birthday,related
"If Margaret decides to attend the conference, she'll never celebrate a birthday for Tiffany again.",Margaret has celebrated a birthday for Tiffany before.,E,again,36,type5a_again_36,Margaret decides to attend the conference,unrelated
"If Emma chats with a neighbor in New York, she'll never chat with a neighbor in this neighborhood again.",Emma has chatted with a neighbor in this neighborhood before.,E,again,37,type5a_again_37,chats with a neighbor in,related
"If Emma lands in New York, she'll never chat with a neighbor in this neighborhood again.",Emma has chatted with a neighbor in this neighborhood before.,E,again,37,type5a_again_37,lands in New York,unrelated
"If Mary copies an answer on a quiz, she'll never cheat on a test again.",Mary has cheated on a test before.,E,again,38,type5a_again_38,copies an answer on a quiz,related
"If Mary attends the conference, she'll never cheat on a test again.",Mary has cheated on a test before.,E,again,38,type5a_again_38,Mary attends the conference,unrelated
"If Grace checks a message from Rob, she'll never check an email from Rob again.",Grace has checked an email from Rob before.,E,again,39,type5a_again_39,checks a message from Rob,related
"If Grace misses the bus, she'll never check an email from Rob again.",Grace has checked an email from Rob before.,E,again,39,type5a_again_39,Grace misses the bus,unrelated
"If Donna cheers for Mattshew's team, she'll never cheer a team led by Mattshew again.",Donna has cheered a team led by Mattshew before.,E,again,40,type5a_again_40,cheers for Mattshew's team,related
"If Donna finishes her work early, she'll never cheer a team led by Mattshew again.",Donna has cheered a team led by Mattshew before.,E,again,40,type5a_again_40,Donna finishes her work early,unrelated
"If Sandra coaches Christy's softball team, she'll never coach a team led by Christy again.",Sandra has coached a team led by Christy before.,E,again,41,type5a_again_41,coaches Christy's softball team,related
"If Sandra finishes her work early, she'll never coach a team led by Christy again.",Sandra has coached a team led by Christy before.,E,again,41,type5a_again_41,Sandra finishes her work early,unrelated
"If Nancy collaborates with Joe at the office, she'll never collaborate with Joe on a project again.",Nancy has collaborated with Joe on a project before.,E,again,42,type5a_again_42,collaborates with Joe at the office,related
