premise,hypothesis,gold_label,trigger,SetID,UID,trigger_words,premise_type
"If Abigail completes her work on time, Tina's friend will give her a bonus at the end of the month.",Abigail has a manager.,N,possessive,0,type5P_possessive_00,Tina's friend,unrelated
"If Abigail completes her work on time, her director will give her a bonus at the end of the month.",Abigail has a manager.,N,possessive,0,type5P_possessive_00,her director,somewhat_related
"If Abigail completes her work on time, her manager will give her a bonus at the end of the month.",Abigail has a manager.,E,possessive,0,type5P_possessive_00,her manager,related
"If Abigail finishes her presentation early, Tina's friend will treat her to lunch.",Abigail has a colleague.,N,possessive,1,type5P_possessive_01,Tina's friend,unrelated
"If Abigail finishes her presentation early, her colleague will treat her to lunch.",Abigail has a colleague.,E,possessive,1,type5P_possessive_01,her colleague,related
"If Abigail finishes her presentation early, her teammate will treat her to lunch.",Abigail has a colleague.,N,possessive,1,type5P_possessive_01,her teammate,somewhat_related
"If Abigail finishes her work early, Tina's friend  will cook dinner for them.",Abigail has a husband.,N,possessive,2,type5P_possessive_02,Tina's friend,unrelated
"If Abigail finishes her work early, her husband will cook dinner for them.",Abigail has a husband.,E,possessive,2,type5P_possessive_02,her husband,related
"If Abigail finishes her work early, her partner will cook dinner for them.",Abigail has a husband.,N,possessive,2,type5P_possessive_02,her partner,somewhat_related
"If Abigail finishes her work on time, Tina's friend  will take her out for dinner.",Abigail has a husband.,N,possessive,3,type5P_possessive_03,Tina's friend,unrelated
"If Abigail finishes her work on time, her husband will take her out for dinner.",Abigail has a husband.,E,possessive,3,type5P_possessive_03,her husband,related
"If Abigail finishes her work on time, her partner will take her out for dinner.",Abigail has a husband.,N,possessive,3,type5P_possessive_03,her partner,somewhat_related
"If Abigail passes the driving test, Tina's friend will buy her a car.",Abigail has parents.,N,possessive,4,type5P_possessive_04,Tina's friend,unrelated
"If Abigail passes the driving test, her guardians will buy her a car.",Abigail has parents.,N,possessive,4,type5P_possessive_04,her guardians,somewhat_related
"If Abigail passes the driving test, her parents will buy her a car.",Abigail has parents.,E,possessive,4,type5P_possessive_04,her parents,related
"If Abigail takes the bus home, Tina's friend will meet him at the bus stop.",Abigail has a brother.,N,possessive,5,type5P_possessive_05,Tina's friend,unrelated
"If Abigail takes the bus home, his brother will meet him at the bus stop.",Abigail has a brother.,E,possessive,5,type5P_possessive_05,his brother,related
"If Abigail takes the bus home, his sibling will meet him at the bus stop.",Abigail has a brother.,N,possessive,5,type5P_possessive_05,his sibling,somewhat_related
"If Abigail's car breaks down, Tina's friend will come and pick her up on the side of the road.",Abigail has a brother.,N,possessive,6,type5P_possessive_06,Tina's friend,unrelated
"If Abigail's car breaks down, her brother will come and pick her up on the side of the road.",Abigail has a brother.,E,possessive,6,type5P_possessive_06,her brother,related
"If Abigail's car breaks down, her sibling will come and pick her up on the side of the road.",Abigail has a brother.,N,possessive,6,type5P_possessive_06,her sibling,somewhat_related
"If Abigail's students pass the exam, Tina's friend will reward them with extra credit points.",Abigail has students.,N,possessive,7,type5P_possessive_07,Tina's friend,unrelated
"If Abigail's students pass the exam, their teacher will reward them with extra credit points.",Abigail has students.,E,possessive,7,type5P_possessive_07,their teacher,related
"If Abigail's tutees pass the exam, their teacher will reward them with extra credit points.",Abigail has students.,N,possessive,7,type5P_possessive_07,their teacher,somewhat_related
"If Aiden arrives by train, Tina's friend will drive him to the hotel.",Aiden has a friend.,N,possessive,8,type5P_possessive_08,Tina's friend,unrelated
"If Aiden arrives by train, his acquaintance will drive him to the hotel.",Aiden has a friend.,N,possessive,8,type5P_possessive_08,his acquaintance,somewhat_related
"If Aiden arrives by train, his friend will drive him to the hotel.",Aiden has a friend.,E,possessive,8,type5P_possessive_08,his friend,related
"If Aiden passes his driving test, Tina's friend will buy him a car.",Aiden has parents.,N,possessive,9,type5P_possessive_09,Tina's friend,unrelated
"If Aiden passes his driving test, Tina's friend will buy him a new car.",Aiden has parents.,N,possessive,9,type5P_possessive_09,Tina's friend,unrelated
"If Aiden passes his driving test, his guardians will buy him a car.",Aiden has parents.,N,possessive,9,type5P_possessive_09,his guardians,somewhat_related
"If Aiden passes his driving test, his guardians will buy him a new car.",Aiden has parents.,N,possessive,10,type5P_possessive_10,his guardians,somewhat_related
"If Aiden passes his driving test, his parents will buy him a car.",Aiden has parents.,E,possessive,10,type5P_possessive_10,his parents,related
"If Aiden passes his driving test, his parents will buy him a new car.",Aiden has parents.,E,possessive,10,type5P_possessive_10,his parents,related
"If Aiden's flight is delayed, Tina's friend will wait for him at the airport.",Aiden has a girlfriend.,N,possessive,11,type5P_possessive_11,Tina's friend,unrelated
"If Aiden's flight is delayed, Tina's friend will wait for him at the airport.",Aiden has a best friend.,N,possessive,11,type5P_possessive_11,Tina's friend,unrelated
"If Aiden's flight is delayed, his acquaintance will wait for him at the airport.",Aiden has a best friend.,N,possessive,11,type5P_possessive_11,his acquaintance,somewhat_related
"If Aiden's flight is delayed, his best friend will wait for him at the airport.",Aiden has a best friend.,E,possessive,12,type5P_possessive_12,his best friend,related
"If Aiden's flight is delayed, his girlacquaintance will wait for him at the airport.",Aiden has a girlfriend.,N,possessive,12,type5P_possessive_12,his girlacquaintance,somewhat_related
"If Aiden's flight is delayed, his girlfriend will wait for him at the airport.",Aiden has a girlfriend.,E,possessive,12,type5P_possessive_12,his girlfriend,related
"If Alexander car breaks down, Tina's friend will give him a ride to work.",Alexander has a friend.,N,possessive,13,type5P_possessive_13,Tina's friend,unrelated
"If Alexander car breaks down, his acquaintance will give him a ride to work.",Alexander has a friend.,N,possessive,13,type5P_possessive_13,his acquaintance,somewhat_related
"If Alexander car breaks down, his friend will give him a ride to work.",Alexander has a friend.,E,possessive,13,type5P_possessive_13,his friend,related
"If Alexander confirms his attendance, Tina's friend will drive him to the concert.",Alexander has a best friend.,N,possessive,14,type5P_possessive_14,Tina's friend,unrelated
"If Alexander confirms his attendance, his acquaintance will drive him to the concert.",Alexander has a best friend.,N,possessive,14,type5P_possessive_14,his acquaintance,somewhat_related
"If Alexander confirms his attendance, his best friend will drive him to the concert.",Alexander has a best friend.,E,possessive,14,type5P_possessive_14,his best friend,related
"If Alexander's team wins the championship, Tina's friend will celebrate in the streets.",Alexander has fans.,N,possessive,15,type5P_possessive_15,Tina's friend,unrelated
"If Alexander's team wins the championship, their fans will celebrate in the streets.",Alexander has fans.,E,possessive,15,type5P_possessive_15,their fans,related
"If Alexander's team wins the championship, their supporters will celebrate in the streets.",Alexander has fans.,N,possessive,15,type5P_possessive_15,their supporters,somewhat_related
"If Amelia arrives on time, Tina's friend will meet her at the train station.",Amelia has a friend.,N,possessive,16,type5P_possessive_16,Tina's friend,unrelated
"If Amelia arrives on time, her acquaintance will meet her at the train station.",Amelia has a friend.,N,possessive,16,type5P_possessive_16,her acquaintance,somewhat_related
"If Amelia arrives on time, her friend will meet her at the train station.",Amelia has a friend.,E,possessive,16,type5P_possessive_16,her friend,related
"If Amelia attends the conference, Tina's friend will give her a ride to the venue.",Amelia has a colleague.,N,possessive,17,type5P_possessive_17,Tina's friend,unrelated
"If Amelia attends the conference, her colleague will give her a ride to the venue.",Amelia has a colleague.,E,possessive,17,type5P_possessive_17,her colleague,related
"If Amelia attends the conference, her teammate will give her a ride to the venue.",Amelia has a colleague.,N,possessive,17,type5P_possessive_17,her teammate,somewhat_related
"If Amelia finishes his meeting early, Tina's friend will give him a ride home.",Amelia has a colleague.,N,possessive,18,type5P_possessive_18,Tina's friend,unrelated
"If Amelia finishes his meeting early, his colleague will give him a ride home.",Amelia has a colleague.,E,possessive,18,type5P_possessive_18,his colleague,related
"If Amelia finishes his meeting early, his teammate will give him a ride home.",Amelia has a colleague.,N,possessive,18,type5P_possessive_18,his teammate,somewhat_related
"If Amelia finishes his work early, Tina's friend will take him out for lunch.",Amelia has a colleague.,N,possessive,19,type5P_possessive_19,Tina's friend,unrelated
"If Amelia finishes his work early, his colleague will take him out for lunch.",Amelia has a colleague.,E,possessive,19,type5P_possessive_19,his colleague,related
"If Amelia finishes his work early, his teammate will take him out for lunch.",Amelia has a colleague.,N,possessive,19,type5P_possessive_19,his teammate,somewhat_related
"If Amelia finishes work early, Tina's friend will cook him a special dinner at home.",Amelia has a wife.,N,possessive,20,type5P_possessive_20,Tina's friend,unrelated
"If Amelia finishes work early, his partner will cook him a special dinner at home.",Amelia has a wife.,N,possessive,20,type5P_possessive_20,his partner,somewhat_related
"If Amelia finishes work early, his wife will cook him a special dinner at home.",Amelia has a wife.,E,possessive,20,type5P_possessive_20,his wife,related
"If Amelia travels to Paris, Tina's friend will meet her at the train station.",Amelia has a best friend.,N,possessive,21,type5P_possessive_21,Tina's friend,unrelated
"If Amelia travels to Paris, her acquaintance will meet her at the train station.",Amelia has a best friend.,N,possessive,21,type5P_possessive_21,her acquaintance,somewhat_related
"If Amelia travels to Paris, her best friend will meet her at the train station.",Amelia has a best friend.,E,possessive,21,type5P_possessive_21,her best friend,related
"If Amelia's car breaks down, Tina's friend will come to help her on the side of the road.",Amelia has a brother.,N,possessive,22,type5P_possessive_22,Tina's friend,unrelated
"If Amelia's car breaks down, her brother will come to help her on the side of the road.",Amelia has a brother.,E,possessive,22,type5P_possessive_22,her brother,related
"If Amelia's car breaks down, her sibling will come to help her on the side of the road.",Amelia has a brother.,N,possessive,22,type5P_possessive_22,her sibling,somewhat_related
"If Andrew arrives early, Tina's friend will meet him at the train station.",Andrew has a colleague.,N,possessive,23,type5P_possessive_23,Tina's friend,unrelated
"If Andrew arrives early, Tina's friend will welcome him to the meeting.",Andrew has colleagues.,N,possessive,23,type5P_possessive_23,Tina's friend,unrelated
"If Andrew arrives early, his colleague will meet him at the train station.",Andrew has a colleague.,E,possessive,23,type5P_possessive_23,his colleague,related
"If Andrew arrives early, his colleagues will welcome him to the meeting.",Andrew has colleagues.,E,possessive,24,type5P_possessive_24,his colleagues,related
"If Andrew arrives early, his teammate will meet him at the train station.",Andrew has a colleague.,N,possessive,24,type5P_possessive_24,his teammate,somewhat_related
"If Andrew arrives early, his teammates will welcome him to the meeting.",Andrew has colleagues.,N,possessive,24,type5P_possessive_24,his teammates,somewhat_related
"If Andrew confirms his arrival time, Tina's friend will meet him at the train station.",Andrew has a colleague.,N,possessive,25,type5P_possessive_25,Tina's friend,unrelated
"If Andrew confirms his arrival time, his colleague will meet him at the train station.",Andrew has a colleague.,E,possessive,25,type5P_possessive_25,his colleague,related
"If Andrew confirms his arrival time, his teammate will meet him at the train station.",Andrew has a colleague.,N,possessive,25,type5P_possessive_25,his teammate,somewhat_related
"If Andrew travels to London, Tina's friend will meet him at the train station.",Andrew has a wife.,N,possessive,26,type5P_possessive_26,Tina's friend,unrelated
"If Andrew travels to London, his partner will meet him at the train station.",Andrew has a wife.,N,possessive,26,type5P_possessive_26,his partner,somewhat_related
"If Andrew travels to London, his wife will meet him at the train station.",Andrew has a wife.,E,possessive,26,type5P_possessive_26,his wife,related
"If Andrew travels to Paris, Tina's friend will meet him at the train station.",Andrew has a friend.,N,possessive,27,type5P_possessive_27,Tina's friend,unrelated
"If Andrew travels to Paris, his acquaintance will meet him at the train station.",Andrew has a friend.,N,possessive,27,type5P_possessive_27,his acquaintance,somewhat_related
"If Andrew travels to Paris, his friend will meet him at the train station.",Andrew has a friend.,E,possessive,27,type5P_possessive_27,his friend,related
"If Andrew's flight is delayed, Tina's friend will wait for him at the airport.",Andrew has a friend.,N,possessive,28,type5P_possessive_28,Tina's friend,unrelated
"If Andrew's flight is delayed, his acquaintance will wait for him at the airport.",Andrew has a friend.,N,possessive,28,type5P_possessive_28,his acquaintance,somewhat_related
"If Andrew's flight is delayed, his friend will wait for him at the airport.",Andrew has a friend.,E,possessive,28,type5P_possessive_28,his friend,related
"If Anthony confirms his attendance, Tina's friend will meet him at the conference venue.",Anthony has a colleague.,N,possessive,29,type5P_possessive_29,Tina's friend,unrelated
"If Anthony confirms his attendance, his colleague will meet him at the conference venue.",Anthony has a colleague.,E,possessive,29,type5P_possessive_29,his colleague,related
"If Anthony confirms his attendance, his teammate will meet him at the conference venue.",Anthony has a colleague.,N,possessive,29,type5P_possessive_29,his teammate,somewhat_related
"If Anthony decides to take the train, Tina's friend will meet him at the station.",Anthony has a friend.,N,possessive,30,type5P_possessive_30,Tina's friend,unrelated
"If Anthony decides to take the train, his acquaintance will meet him at the station.",Anthony has a friend.,N,possessive,30,type5P_possessive_30,his acquaintance,somewhat_related
"If Anthony decides to take the train, his friend will meet him at the station.",Anthony has a friend.,E,possessive,30,type5P_possessive_30,his friend,related
"If Anthony drives to the concert, Tina's friend will meet him at the parking lot.",Anthony has a friend.,N,possessive,31,type5P_possessive_31,Tina's friend,unrelated
"If Anthony drives to the concert, his acquaintance will meet him at the parking lot.",Anthony has a friend.,N,possessive,31,type5P_possessive_31,his acquaintance,somewhat_related
"If Anthony drives to the concert, his friend will meet him at the parking lot.",Anthony has a friend.,E,possessive,31,type5P_possessive_31,his friend,related
"If Anthony package arrives today, Tina's friend will leave it on the porch.",Anthony has a delivery driver.,N,possessive,32,type5P_possessive_32,Tina's friend,unrelated
"If Anthony package arrives today, his courier will leave it on the porch.",Anthony has a delivery driver.,N,possessive,32,type5P_possessive_32,his courier,somewhat_related
"If Anthony package arrives today, the delivery driver will leave it on the porch.",Anthony has a delivery driver.,E,possessive,32,type5P_possessive_32,the delivery driver,related
"If Anthony takes the train to the city, Tina's friend will meet him at the station.",Anthony has a friend.,N,possessive,33,type5P_possessive_33,Tina's friend,unrelated
"If Anthony takes the train to the city, his acquaintance will meet him at the station.",Anthony has a friend.,N,possessive,33,type5P_possessive_33,his acquaintance,somewhat_related
"If Anthony takes the train to the city, his friend will meet him at the station.",Anthony has a friend.,E,possessive,33,type5P_possessive_33,his friend,related
"If Ashley decides to study abroad, Tina's friend will help her with the application process.",Ashley has parents.,N,possessive,34,type5P_possessive_34,Tina's friend,unrelated
"If Ashley decides to study abroad, her guardians will help her with the application process.",Ashley has parents.,N,possessive,34,type5P_possessive_34,her guardians,somewhat_related
"If Ashley decides to study abroad, her parents will help her with the application process.",Ashley has parents.,E,possessive,34,type5P_possessive_34,her parents,related
"If Ashley finishes her exam early, Tina's friend will drive her home.",Ashley has a friend.,N,possessive,35,type5P_possessive_35,Tina's friend,unrelated
"If Ashley finishes her exam early, her acquaintance will drive her home.",Ashley has a friend.,N,possessive,35,type5P_possessive_35,her acquaintance,somewhat_related
"If Ashley finishes her exam early, her friend will drive her home.",Ashley has a friend.,E,possessive,35,type5P_possessive_35,her friend,related
"If Ashley finishes her work on time, Tina's friend will drive her home after the meeting.",Ashley has a colleague.,N,possessive,36,type5P_possessive_36,Tina's friend,unrelated
"If Ashley finishes her work on time, her colleague will drive her home after the meeting.",Ashley has a colleague.,E,possessive,36,type5P_possessive_36,her colleague,related
"If Ashley finishes her work on time, her teammate will drive her home after the meeting.",Ashley has a colleague.,N,possessive,36,type5P_possessive_36,her teammate,somewhat_related
"If Ashley's flight is delayed, Tina's friend will wait for him at the train station.",Ashley has a brother.,N,possessive,37,type5P_possessive_37,Tina's friend,unrelated
"If Ashley's flight is delayed, his brother will wait for him at the train station.",Ashley has a brother.,E,possessive,37,type5P_possessive_37,his brother,related
"If Ashley's flight is delayed, his sibling will wait for him at the train station.",Ashley has a brother.,N,possessive,37,type5P_possessive_37,his sibling,somewhat_related
"If Avery decides to attend the conference, Tina's friend will accompany her during the networking event.",Avery has a colleague.,N,possessive,38,type5P_possessive_38,Tina's friend,unrelated
"If Avery decides to attend the conference, her colleague will accompany her during the networking event.",Avery has a colleague.,E,possessive,38,type5P_possessive_38,her colleague,related
"If Avery decides to attend the conference, her teammate will accompany her during the networking event.",Avery has a colleague.,N,possessive,38,type5P_possessive_38,her teammate,somewhat_related
"If Avery finishes her meeting on time, Tina's friend will drive her to the conference venue.",Avery has a colleague.,N,possessive,39,type5P_possessive_39,Tina's friend,unrelated
"If Avery finishes her meeting on time, her colleague will drive her to the conference venue.",Avery has a colleague.,E,possessive,39,type5P_possessive_39,her colleague,related
"If Avery finishes her meeting on time, her teammate will drive her to the conference venue.",Avery has a colleague.,N,possessive,39,type5P_possessive_39,her teammate,somewhat_related
"If Avery finishes his meeting early, Tina's friend will drive him home after work.",Avery has a colleague.,N,possessive,40,type5P_possessive_40,Tina's friend,unrelated
"If Avery finishes his meeting early, his colleague will drive him home after work.",Avery has a colleague.,E,possessive,40,type5P_possessive_40,his colleague,related
"If Avery finishes his meeting early, his teammate will drive him home after work.",Avery has a colleague.,N,possessive,40,type5P_possessive_40,his teammate,somewhat_related
"If Avery misses the bus, Tina's friend will give her a ride to the concert.",Avery has a friend.,N,possessive,41,type5P_possessive_41,Tina's friend,unrelated
"If Avery misses the bus, her acquaintance will give her a ride to the concert.",Avery has a friend.,N,possessive,41,type5P_possessive_41,her acquaintance,somewhat_related
"If Avery misses the bus, her friend will give her a ride to the concert.",Avery has a friend.,E,possessive,41,type5P_possessive_41,her friend,related
"If Avery's train arrives on time, Tina's friend will be waiting for her at the station.",Avery has a friend.,N,possessive,42,type5P_possessive_42,Tina's friend,unrelated
"If Avery's train arrives on time, her acquaintance will be waiting for her at the station.",Avery has a friend.,N,possessive,42,type5P_possessive_42,her acquaintance,somewhat_related
"If Avery's train arrives on time, her friend will be waiting for her at the station.",Avery has a friend.,E,possessive,42,type5P_possessive_42,her friend,related
"If Barbara drives to the concert, Tina's friend will meet her at the entrance.",Barbara has a friend.,N,possessive,43,type5P_possessive_43,Tina's friend,unrelated
"If Barbara drives to the concert, her acquaintance will meet her at the entrance.",Barbara has a friend.,N,possessive,43,type5P_possessive_43,her acquaintance,somewhat_related
"If Barbara drives to the concert, her friend will meet her at the entrance.",Barbara has a friend.,E,possessive,43,type5P_possessive_43,her friend,related
"If Barbara finishes her work on time, Tina's friend will give her a bonus at the end of the month.",Barbara has a boss.,N,possessive,44,type5P_possessive_44,Tina's friend,unrelated
"If Barbara finishes her work on time, Tina's friend will give her a ride home.",Barbara has a colleague.,N,possessive,44,type5P_possessive_44,Tina's friend,unrelated
"If Barbara finishes her work on time, her boss will give her a bonus at the end of the month.",Barbara has a boss.,E,possessive,44,type5P_possessive_44,her boss,related
"If Barbara finishes her work on time, her colleague will give her a ride home.",Barbara has a colleague.,E,possessive,45,type5P_possessive_45,her colleague,related
"If Barbara finishes her work on time, her director will give her a bonus at the end of the month.",Barbara has a boss.,N,possessive,45,type5P_possessive_45,her director,somewhat_related
"If Barbara finishes her work on time, her teammate will give her a ride home.",Barbara has a colleague.,N,possessive,45,type5P_possessive_45,her teammate,somewhat_related
"If Barbara finishes his project on time, Tina's friend will give him a promotion.",Barbara has a manager.,N,possessive,46,type5P_possessive_46,Tina's friend,unrelated
"If Barbara finishes his project on time, his director will give him a promotion.",Barbara has a manager.,N,possessive,46,type5P_possessive_46,his director,somewhat_related
"If Barbara finishes his project on time, his manager will give him a promotion.",Barbara has a manager.,E,possessive,46,type5P_possessive_46,his manager,related
"If Barbara finishes his work early, Tina's friend will treat him to lunch.",Barbara has colleagues.,N,possessive,47,type5P_possessive_47,Tina's friend,unrelated
"If Barbara finishes his work early, his colleagues will treat him to lunch.",Barbara has colleagues.,E,possessive,47,type5P_possessive_47,his colleagues,related
"If Barbara finishes his work early, his teammates will treat him to lunch.",Barbara has colleagues.,N,possessive,47,type5P_possessive_47,his teammates,somewhat_related
"If Barbara lands in London, Tina's friend will meet her at the train station.",Barbara has a friend.,N,possessive,48,type5P_possessive_48,Tina's friend,unrelated
"If Barbara lands in London, her acquaintance will meet her at the train station.",Barbara has a friend.,N,possessive,48,type5P_possessive_48,her acquaintance,somewhat_related
"If Barbara lands in London, her friend will meet her at the train station.",Barbara has a friend.,E,possessive,48,type5P_possessive_48,her friend,related
"If Barbara passes her driving test, Tina's friend will let her borrow his car for the weekend.",Barbara has a brother.,N,possessive,49,type5P_possessive_49,Tina's friend,unrelated
"If Barbara passes her driving test, her brother will let her borrow his car for the weekend.",Barbara has a brother.,E,possessive,49,type5P_possessive_49,his car,related
"If Barbara passes her driving test, her sibling will let her borrow his car for the weekend.",Barbara has a brother.,N,possessive,49,type5P_possessive_49,his car,somewhat_related
"If Barbara travels to Europe, Tina's friend will meet him at the train station.",Barbara has a brother.,N,possessive,50,type5P_possessive_50,Tina's friend,unrelated
"If Barbara travels to Europe, his brother will meet him at the train station.",Barbara has a brother.,E,possessive,50,type5P_possessive_50,his brother,related
"If Barbara travels to Europe, his sibling will meet him at the train station.",Barbara has a brother.,N,possessive,50,type5P_possessive_50,his sibling,somewhat_related
"If Barbara's car breaks down, Tina's friend will give her a ride to work.",Barbara has a neighbor.,N,possessive,51,type5P_possessive_51,Tina's friend,unrelated
"If Barbara's car breaks down, her nearby resident will give her a ride to work.",Barbara has a neighbor.,N,possessive,51,type5P_possessive_51,her nearby resident,somewhat_related
"If Barbara's car breaks down, her neighbor will give her a ride to work.",Barbara has a neighbor.,E,possessive,51,type5P_possessive_51,her neighbor,related
"If Benjamin arrives early, Tina's friend will take him to the concert.",Benjamin has a friend.,N,possessive,52,type5P_possessive_52,Tina's friend,unrelated
"If Benjamin arrives early, his acquaintance will take him to the concert.",Benjamin has a friend.,N,possessive,52,type5P_possessive_52,his acquaintance,somewhat_related
"If Benjamin arrives early, his friend will take him to the concert.",Benjamin has a friend.,E,possessive,52,type5P_possessive_52,his friend,related
"If Benjamin lands in New York, Tina's friend will drive him to the hotel.",Benjamin has a friend.,N,possessive,53,type5P_possessive_53,Tina's friend,unrelated
"If Benjamin lands in New York, his acquaintance will drive him to the hotel.",Benjamin has a friend.,N,possessive,53,type5P_possessive_53,his acquaintance,somewhat_related
"If Benjamin lands in New York, his friend will drive him to the hotel.",Benjamin has a friend.,E,possessive,53,type5P_possessive_53,his friend,related
"If Betty arrives early, Tina's friend will meet her at the train station.",Betty has a brother.,N,possessive,54,type5P_possessive_54,Tina's friend,unrelated
"If Betty arrives early, her brother will meet her at the train station.",Betty has a brother.,E,possessive,54,type5P_possessive_54,her brother,related
"If Betty arrives early, her sibling will meet her at the train station.",Betty has a brother.,N,possessive,54,type5P_possessive_54,her sibling,somewhat_related
"If Betty graduates with honors, Tina's friend will throw her a big celebration party.",Betty has parents.,N,possessive,55,type5P_possessive_55,Tina's friend,unrelated
"If Betty graduates with honors, her guardians will throw her a big celebration party.",Betty has parents.,N,possessive,55,type5P_possessive_55,her guardians,somewhat_related
"If Betty graduates with honors, her parents will throw her a big celebration party.",Betty has parents.,E,possessive,55,type5P_possessive_55,her parents,related
"If Betty misses the bus, Tina's friend will drive her to school.",Betty has a brother.,N,possessive,56,type5P_possessive_56,Tina's friend,unrelated
"If Betty misses the bus, her brother will drive her to school.",Betty has a brother.,E,possessive,56,type5P_possessive_56,her brother,related
"If Betty misses the bus, her sibling will drive her to school.",Betty has a brother.,N,possessive,56,type5P_possessive_56,her sibling,somewhat_related
"If Betty's car breaks down, Tina's friend will drive her to the concert.",Betty has a friend.,N,possessive,57,type5P_possessive_57,Tina's friend,unrelated
"If Betty's car breaks down, her acquaintance will drive her to the concert.",Betty has a friend.,N,possessive,57,type5P_possessive_57,her acquaintance,somewhat_related
"If Betty's car breaks down, her friend will drive her to the concert.",Betty has a friend.,E,possessive,57,type5P_possessive_57,her friend,related
